pathogen_iri	pathogen_label	host_iri	host_label
http://www.pitt.edu/obc/IDE_0000004539	Mycobacterium tuberculosis in Marshall Islands	http://www.pitt.edu/obc/IDE_0000000873	humans in Marshall Islands
http://www.pitt.edu/obc/IDE_0000004390	Mycobacterium tuberculosis in Solomon Islands	http://www.pitt.edu/obc/IDE_0000000896	humans in Solomon Islands
http://www.pitt.edu/obc/IDE_0000004382	Mycobacterium tuberculosis in Kiribati	http://www.pitt.edu/obc/IDE_0000000956	humans in Kiribati
http://www.pitt.edu/obc/IDE_0000004523	Mycobacterium tuberculosis in Kazakhstan	http://www.pitt.edu/obc/IDE_0000000858	humans in Kazakhstan
http://www.pitt.edu/obc/IDE_0000004451	Mycobacterium tuberculosis in Dominica	http://www.pitt.edu/obc/IDE_0000000885	humans in Dominica
http://www.pitt.edu/obc/IDE_0000004385	Mycobacterium tuberculosis in Niue	http://www.pitt.edu/obc/IDE_0000001486	humans in Niue
http://www.pitt.edu/obc/IDE_0000004460	Mycobacterium tuberculosis in Peru	http://www.pitt.edu/obc/IDE_0000000854	humans in Peru
http://www.pitt.edu/obc/IDE_0000004360	Mycobacterium tuberculosis in Norway	http://www.pitt.edu/obc/IDE_0000000846	humans in Norway
http://www.pitt.edu/obc/IDE_0000004393	Mycobacterium tuberculosis in Hungary	http://www.pitt.edu/obc/IDE_0000000842	humans in Hungary
http://www.pitt.edu/obc/IDE_0000004397	Mycobacterium tuberculosis in Nauru	http://www.pitt.edu/obc/IDE_0000000801	humans in Nauru
http://www.pitt.edu/obc/IDE_0000004457	Mycobacterium tuberculosis in Republic of Korea	http://www.pitt.edu/obc/IDE_0000000977	humans in Republic of Korea
http://www.pitt.edu/obc/IDE_0000004356	Mycobacterium tuberculosis in Martinique	http://www.pitt.edu/obc/IDE_0000001440	humans in Martinique
http://www.pitt.edu/obc/IDE_0000004408	Mycobacterium tuberculosis in Botswana	http://www.pitt.edu/obc/IDE_0000000796	humans in Botswana
http://www.pitt.edu/obc/IDE_0000004444	Mycobacterium tuberculosis in Samoa	http://www.pitt.edu/obc/IDE_0000000814	humans in Samoa
http://www.pitt.edu/obc/IDE_0000004464	Mycobacterium tuberculosis in Slovenia	http://www.pitt.edu/obc/IDE_0000000918	humans in Slovenia
http://www.pitt.edu/obc/IDE_0000004364	Mycobacterium tuberculosis in Saint Vincent and the Grenadines	http://www.pitt.edu/obc/IDE_0000000800	humans in Saint Vincent and the Grenadines
http://www.pitt.edu/obc/IDE_0000004461	Mycobacterium tuberculosis in Honduras	http://www.pitt.edu/obc/IDE_0000000867	humans in Honduras
http://www.pitt.edu/obc/IDE_0000004421	Mycobacterium tuberculosis in Saint Helena	http://www.pitt.edu/obc/IDE_0000001498	humans in Saint Helena
http://www.pitt.edu/obc/IDE_0000004430	Mycobacterium tuberculosis in El Salvador	http://www.pitt.edu/obc/IDE_0000000837	humans in El Salvador
http://www.pitt.edu/obc/IDE_0000004443	Mycobacterium tuberculosis in Italy	http://www.pitt.edu/obc/IDE_0000000826	humans in Italy
http://www.pitt.edu/obc/IDE_0000004352	Mycobacterium tuberculosis in Palau	http://www.pitt.edu/obc/IDE_0000000891	humans in Palau
http://www.pitt.edu/obc/IDE_0000004546	Mycobacterium tuberculosis in Belize	http://www.pitt.edu/obc/IDE_0000000855	humans in Belize
http://www.pitt.edu/obc/IDE_0000004359	Mycobacterium tuberculosis in Russian Federation	http://www.pitt.edu/obc/IDE_0000000905	humans in Russian Federation
http://www.pitt.edu/obc/IDE_0000004503	Mycobacterium tuberculosis in Armenia	http://www.pitt.edu/obc/IDE_0000000890	humans in Armenia
http://www.pitt.edu/obc/IDE_0000004441	Mycobacterium tuberculosis in Niger	http://www.pitt.edu/obc/IDE_0000000880	humans in Niger
http://www.pitt.edu/obc/IDE_0000004366	Mycobacterium tuberculosis in Morocco	http://www.pitt.edu/obc/IDE_0000000839	humans in Morocco
http://www.pitt.edu/obc/IDE_0000004384	Mycobacterium tuberculosis in Uruguay	http://www.pitt.edu/obc/IDE_0000000963	humans in Uruguay
http://www.pitt.edu/obc/IDE_0000004540	Mycobacterium tuberculosis in Vanuatu	http://www.pitt.edu/obc/IDE_0000000869	humans in Vanuatu
http://www.pitt.edu/obc/IDE_0000004506	Mycobacterium tuberculosis in Antigua and Barbuda	http://www.pitt.edu/obc/IDE_0000000889	humans in Antigua and Barbuda
http://www.pitt.edu/obc/IDE_0000004446	Mycobacterium tuberculosis in Republic of Abkhazia	http://www.pitt.edu/obc/IDE_0000000836	humans in Republic of Abkhazia
http://www.pitt.edu/obc/IDE_0000004428	Mycobacterium tuberculosis in French Guiana	http://www.pitt.edu/obc/IDE_0000001445	humans in French Guiana
http://www.pitt.edu/obc/IDE_0000004348	Mycobacterium tuberculosis in Angola	http://www.pitt.edu/obc/IDE_0000000848	humans in Angola
http://www.pitt.edu/obc/IDE_0000004558	Mycobacterium tuberculosis in Montenegro	http://www.pitt.edu/obc/IDE_0000000948	humans in Montenegro
http://www.pitt.edu/obc/IDE_0000004409	Mycobacterium tuberculosis in Brazil	http://www.pitt.edu/obc/IDE_0000000049	humans in Brazil
http://www.pitt.edu/obc/IDE_0000004559	Mycobacterium tuberculosis in Georgia	http://www.pitt.edu/obc/IDE_0000000834	humans in Georgia
http://www.pitt.edu/obc/IDE_0000004383	Mycobacterium tuberculosis in Paraguay	http://www.pitt.edu/obc/IDE_0000000960	humans in Paraguay
http://www.pitt.edu/obc/IDE_0000004419	Mycobacterium tuberculosis in Rwanda	http://www.pitt.edu/obc/IDE_0000000927	humans in Rwanda
http://www.pitt.edu/obc/IDE_0000004487	Mycobacterium tuberculosis in Egypt	http://www.pitt.edu/obc/IDE_0000000954	humans in Egypt
http://www.pitt.edu/obc/IDE_0000004499	Mycobacterium tuberculosis in Malawi	http://www.pitt.edu/obc/IDE_0000000923	humans in Malawi
